MONTH,GROUP,REASON FOR SEEKING ASSISTANCE,DATE,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,NATIONAL
Apr18,Accommodation,Accommodation,2018-04-30,12581.0,16285.0,7117.0,2233.0,4006.0,1672.0,1011.0,1486.0,46287.0
Apr18,Accommodation,Housing crisis (e.g. eviction),2018-04-30,8834.0,11441.0,4717.0,1286.0,2304.0,1148.0,657.0,790.0,31139.0
Apr18,Accommodation,Inadequate or inappropriate dwelling conditions,2018-04-30,4538.0,7462.0,3284.0,1071.0,1574.0,764.0,427.0,844.0,19940.0
Apr18,Accommodation,Previous accommodation ended,2018-04-30,3618.0,4053.0,1947.0,704.0,414.0,764.0,356.0,236.0,12077.0
Apr18,Financial,Employment difficulties,2018-04-30,1049.0,1229.0,598.0,248.0,160.0,53.0,80.0,120.0,3536.0
Apr18,Financial,Financial,2018-04-30,10591.0,14202.0,6503.0,2384.0,1491.0,1025.0,830.0,956.0,37930.0
Apr18,Financial,Financial difficulties,2018-04-30,7798.0,11660.0,5016.0,1834.0,959.0,743.0,552.0,690.0,29214.0
Apr18,Financial,Housing affordability stress,2018-04-30,6099.0,7815.0,4115.0,1153.0,505.0,731.0,553.0,465.0,21420.0
Apr18,Financial,Problematic gambling,2018-04-30,93.0,95.0,27.0,8.0,13.0,3.0,5.0,7.0,250.0
Apr18,Financial,Unemployment,2018-04-30,2456.0,2537.0,1457.0,613.0,449.0,195.0,154.0,179.0,8037.0
Apr18,Health,Health,2018-04-30,5741.0,6792.0,2559.0,1230.0,1437.0,835.0,482.0,483.0,19535.0
Apr18,Health,Medical issues,2018-04-30,1857.0,2400.0,1034.0,346.0,477.0,335.0,155.0,191.0,6791.0
Apr18,Health,Mental health issues,2018-04-30,4128.0,4849.0,1568.0,719.0,969.0,617.0,356.0,158.0,13349.0
Apr18,Health,Problematic alcohol use,2018-04-30,749.0,634.0,376.0,242.0,185.0,89.0,56.0,176.0,2506.0
Apr18,Health,Problematic drug or substance use,2018-04-30,1448.0,1729.0,483.0,456.0,315.0,124.0,94.0,77.0,4725.0
Apr18,Interpersonal,Family and domestic violence,2018-04-30,7106.0,13554.0,3101.0,2373.0,1802.0,435.0,516.0,921.0,29762.0
Apr18,Interpersonal,Interpersonal relationships,2018-04-30,10952.0,17304.0,4958.0,3398.0,2448.0,1035.0,839.0,1196.0,42052.0
Apr18,Interpersonal,Non-family violence,2018-04-30,480.0,627.0,164.0,113.0,45.0,101.0,45.0,45.0,1620.0
Apr18,Interpersonal,Relationship/family breakdown,2018-04-30,5764.0,5491.0,2377.0,1379.0,642.0,596.0,629.0,364.0,17221.0
Apr18,Interpersonal,Sexual abuse,2018-04-30,386.0,489.0,141.0,162.0,71.0,20.0,19.0,32.0,1320.0
Apr18,Interpersonal,Time out from family/other situation,2018-04-30,2053.0,1866.0,1115.0,789.0,164.0,366.0,208.0,293.0,6851.0
Apr18,Not stated,Not stated,2018-04-30,253.0,207.0,7.0,97.0,0.0,0.0,6.0,17.0,584.0
Apr18,Other,Discrimination including racial discrimination,2018-04-30,112.0,134.0,35.0,16.0,79.0,2.0,6.0,3.0,387.0
Apr18,Other,Disengagement with school or other education and training,2018-04-30,570.0,534.0,105.0,120.0,271.0,16.0,39.0,87.0,1742.0
Apr18,Other,Itinerant,2018-04-30,631.0,797.0,372.0,89.0,322.0,198.0,14.0,56.0,2473.0
Apr18,Other,Lack of family and/or community support,2018-04-30,4719.0,4840.0,2628.0,1087.0,570.0,648.0,405.0,555.0,15441.0
Apr18,Other,Other,2018-04-30,7178.0,9077.0,3851.0,1787.0,1515.0,971.0,684.0,1130.0,26151.0
Apr18,Other,Other (not elsewhere classified),2018-04-30,1588.0,3180.0,931.0,545.0,244.0,124.0,158.0,521.0,7289.0
Apr18,Other,Transition from custodial arrangements,2018-04-30,577.0,939.0,139.0,82.0,198.0,72.0,52.0,76.0,2132.0
Apr18,Other,Transition from foster care and child safety residential placements,2018-04-30,109.0,192.0,63.0,46.0,12.0,23.0,8.0,51.0,503.0
Apr18,Other,Transition from other care arrangements,2018-04-30,249.0,260.0,73.0,84.0,71.0,42.0,33.0,16.0,828.0
Apr18,Other,Unable to return home due to environmental reasons,2018-04-30,533.0,444.0,178.0,149.0,112.0,47.0,73.0,25.0,1560.0
Apr18,Total,Total clients,2018-04-30,22696.0,32834.0,11900.0,5818.0,6335.0,2181.0,1635.0,3029.0,86201.0
Apr19,Accommodation,Accommodation,2019-04-30,12497.0,16030.0,7373.0,2636.0,4094.0,1815.0,981.0,1365.0,46696.0
Apr19,Accommodation,Housing crisis (e.g. eviction),2019-04-30,8354.0,10434.0,4584.0,1588.0,2424.0,1119.0,619.0,579.0,29666.0
Apr19,Accommodation,Inadequate or inappropriate dwelling conditions,2019-04-30,4761.0,7841.0,3546.0,1210.0,1470.0,912.0,410.0,849.0,20981.0
Apr19,Accommodation,Previous accommodation ended,2019-04-30,3669.0,4267.0,1980.0,818.0,464.0,816.0,288.0,210.0,12505.0
Apr19,Financial,Employment difficulties,2019-04-30,1269.0,1375.0,602.0,260.0,130.0,81.0,94.0,135.0,3945.0
Apr19,Financial,Financial,2019-04-30,11228.0,14805.0,6582.0,2797.0,1509.0,1297.0,883.0,902.0,39950.0
Apr19,Financial,Financial difficulties,2019-04-30,8131.0,11681.0,5144.0,2108.0,966.0,961.0,662.0,565.0,30191.0
Apr19,Financial,Housing affordability stress,2019-04-30,6419.0,9009.0,4073.0,1468.0,456.0,953.0,589.0,500.0,23453.0
Apr19,Financial,Problematic gambling,2019-04-30,113.0,64.0,40.0,12.0,15.0,3.0,3.0,6.0,256.0
Apr19,Financial,Unemployment,2019-04-30,2613.0,2868.0,1428.0,816.0,484.0,227.0,209.0,203.0,8843.0
Apr19,Health,Health,2019-04-30,5952.0,7096.0,2646.0,1630.0,1500.0,953.0,475.0,439.0,20665.0
Apr19,Health,Medical issues,2019-04-30,1748.0,2495.0,1057.0,523.0,478.0,387.0,144.0,153.0,6978.0
Apr19,Health,Mental health issues,2019-04-30,4280.0,5175.0,1695.0,951.0,1065.0,725.0,372.0,143.0,14393.0
Apr19,Health,Problematic alcohol use,2019-04-30,703.0,622.0,312.0,267.0,151.0,88.0,38.0,166.0,2345.0
Apr19,Health,Problematic drug or substance use,2019-04-30,1595.0,1835.0,508.0,536.0,331.0,150.0,104.0,82.0,5137.0
Apr19,Interpersonal,Family and domestic violence,2019-04-30,7251.0,13586.0,3194.0,2711.0,1784.0,506.0,503.0,951.0,30442.0
Apr19,Interpersonal,Interpersonal relationships,2019-04-30,11217.0,17259.0,5027.0,3735.0,2397.0,1169.0,821.0,1255.0,42811.0
Apr19,Interpersonal,Non-family violence,2019-04-30,460.0,730.0,177.0,183.0,46.0,103.0,71.0,61.0,1831.0
Apr19,Interpersonal,Relationship/family breakdown,2019-04-30,5842.0,5604.0,2364.0,1498.0,574.0,698.0,592.0,363.0,17518.0
Apr19,Interpersonal,Sexual abuse,2019-04-30,382.0,545.0,149.0,201.0,58.0,42.0,33.0,48.0,1458.0
Apr19,Interpersonal,Time out from family/other situation,2019-04-30,2220.0,2222.0,1010.0,863.0,174.0,483.0,188.0,309.0,7465.0
Apr19,Not stated,Not stated,2019-04-30,481.0,201.0,11.0,37.0,0.0,5.0,4.0,72.0,806.0
Apr19,Other,Discrimination including racial discrimination,2019-04-30,169.0,168.0,39.0,32.0,55.0,8.0,6.0,2.0,479.0
Apr19,Other,Disengagement with school or other education and training,2019-04-30,627.0,481.0,126.0,106.0,228.0,22.0,19.0,44.0,1652.0
Apr19,Other,Itinerant,2019-04-30,671.0,919.0,312.0,206.0,352.0,185.0,7.0,141.0,2788.0
