Table_Number,Year,Measure,Age,Indigenous_Status,Service_Type,Client_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
19A.1,2022-23,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,321.8,507.4,214.6,112.7,94.5,46.7,35.7,62.8,1396.1
19A.1,2022-23,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,39.05,75.69,39.91,39.88,51.54,81.63,77.40,250.92,53.15
19A.1,2022-23,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and territory governments (unpublished),%,95.2,99.0,97.7,96.9,87.3,96.8,95.9,73.8,95.7
19A.1,2022-23,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and territory governments (unpublished),%,4.8,1.0,2.3,3.1,12.7,3.2,4.1,26.2,4.3
19A.1,2021-22,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,332.4,543.2,175.3,105.0,97.2,42.0,35.7,57.0,1387.7
19A.1,2021-22,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,41.06,82.8,33.3,38.01,53.79,73.65,78.67,228.64,53.86
19A.1,2021-22,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Service delivery expenditure,,,,,Derived from State and territory governments (unpublished),%,96.7,99.1,97.3,97.7,86.2,96.7,96.6,87.0,96.7
19A.1,2021-22,Recurrent expenditure,All ages,All people,,,,State and territory government expenditure on homelessness services,Administrative expenditure,,,,,Derived from State and territory governments (unpublished),%,3.3,0.9,2.7,2.3,13.8,3.3,3.4,13.0,3.3
19A.1,2020-21,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Total recurrent real expenditure,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,281.1,542.5,174.6,96.2,88.8,36.7,28.5,51.2,1299.6
19A.1,2020-21,Recurrent expenditure,All ages,All people,,,2022-23 dollars,State and territory government expenditure on homelessness services,Real expenditure per person in the residential population,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,34.73,82.6,33.68,35.27,49.47,65.39,63.61,206.52,50.7
