"Table_Number","Year","Measure","Indigenous_Status","Remoteness","Housing_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"18A.1","2022-23","Recurrent expenditure","All people","All areas","Public housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1201.4","618.7","531.5","607.6","335.8","99.5","152.9","109.0","","3656.4"
"18A.1","2022-23","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","42.9","..","44.9","..","18.2","3.0","..","154.6","","263.6"
"18A.1","2022-23","Recurrent expenditure","All people","All areas","Community housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","Community housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","178.4","213.3","76.4","10.6","42.0","55.2","10.9","0.4","","587.2"
"18A.1","2022-23","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","Indigenous community housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","19.7","0.7","108.1","52.6","14.7","na","..","0","","195.7"
"18A.1","2022-23","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1500.4","832.6","760.8","758.3","442.2","159.9","163.7","265.2","","4883.2"
"18A.1","2022-23","Recurrent expenditure","All people","All areas","Public housing","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","Public housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","686.0","859.3","240.2","353.5","81.7","94.0","41.5","1.1","","2357.3"
"18A.1","2022-23","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","State owned and managed Indigenous housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","14.8","..","13.0","..","3.0","3.1","..","21.0","","54.9"
"18A.1","2022-23","Recurrent expenditure","All people","All areas","Community housing","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","Community housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","0.6","374.2","201.4","0","0","57.8","0","0","","634.0"
"18A.1","2022-23","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","Indigenous community housing","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","Indigenous community housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","75.3","0","65.3","0.2","8.9","na","..","0","","149.7"
"18A.1","2022-23","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","776.7","1233.5","520.0","353.5","93.5","157.2","41.5","353.3","","3529.3"
"18A.1","2022-23","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Total","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2277.2","2066.2","1280.8","1111.8","535.7","317.1","205.2","618.5","","8412.5"
"18A.1","2022-23","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","182.11","124.20","141.47","268.41","241.05","279.78","355.30","1060.26","","185.90"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","Public housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","Public housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","988.5","679.2","497.6","487.2","337.2","61.2","170.9","101.3","","3323.1"
"18A.1","2021-22","Recurrent expenditure","Aboriginal and Torres Strait Islander","All areas","State owned and managed Indigenous housing","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","State owned and managed Indigenous housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","51.4","..","42.8","..","21.2","1.9","..","91.4","","208.6"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1521.4","896.0","712.6","603.4","451.7","152.1","181.9","264.0","","4783.0"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Capital expenditure","","All social housing","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","639.6","1177.3","326.7","269.1","93.2","100.8","-33.3","228.5","","2802.0"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Total","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","2161.0","2073.3","1039.3","872.5","544.9","252.8","148.6","492.5","","7585.0"
"18A.1","2021-22","Recurrent expenditure","All people","All areas","","2022-23 dollars","State and territory government real expenditure on social housing","Net recurrent expenditure","per person in the population","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","187.93","136.59","135.34","218.45","250.01","266.88","401.20","1058.83","","185.63"
