DATE,MONTH,SEX,CLIENT GROUP,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,NATIONAL,NSW_POPULATION,VIC_POPULATION,QLD_POPULATION,WA_POPULATION,SA_POPULATION,TAS_POPULATION,ACT_POPULATION,NT_POPULATION,NATIONAL_POPULATION,NATIONAL_PER_10k,NSW_PER_10k,NSW_PROPORTION_OF_NATIONAL,NSW_PROPORTION_OF_NATIONAL_PER_10k,NSW_PROPORTION_OF_NATIONAL_POPULATION,NSW_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,VIC_PER_10k,VIC_PROPORTION_OF_NATIONAL,VIC_PROPORTION_OF_NATIONAL_PER_10k,VIC_PROPORTION_OF_NATIONAL_POPULATION,VIC_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,QLD_PER_10k,QLD_PROPORTION_OF_NATIONAL,QLD_PROPORTION_OF_NATIONAL_PER_10k,QLD_PROPORTION_OF_NATIONAL_POPULATION,QLD_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,WA_PER_10k,WA_PROPORTION_OF_NATIONAL,WA_PROPORTION_OF_NATIONAL_PER_10k,WA_PROPORTION_OF_NATIONAL_POPULATION,WA_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,SA_PER_10k,SA_PROPORTION_OF_NATIONAL,SA_PROPORTION_OF_NATIONAL_PER_10k,SA_PROPORTION_OF_NATIONAL_POPULATION,SA_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,TAS_PER_10k,TAS_PROPORTION_OF_NATIONAL,TAS_PROPORTION_OF_NATIONAL_PER_10k,TAS_PROPORTION_OF_NATIONAL_POPULATION,TAS_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,ACT_PER_10k,ACT_PROPORTION_OF_NATIONAL,ACT_PROPORTION_OF_NATIONAL_PER_10k,ACT_PROPORTION_OF_NATIONAL_POPULATION,ACT_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,NT_PER_10k,NT_PROPORTION_OF_NATIONAL,NT_PROPORTION_OF_NATIONAL_PER_10k,NT_PROPORTION_OF_NATIONAL_POPULATION,NT_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP
2017-07-31,Jul17,Total,Number of clients who are at risk of homelessness,10696.0,13652.0,5030.0,3207.0,3437.0,962.0,794.0,1635.0,39349.0,,,,,,,,,,,,27.2,,,,,34.7,,,,,12.8,,,,,8.2,,,,,8.7,,,,,2.4,,,,,2.0,,,,,4.2,,,
2017-07-31,Jul17,Female,Number of indigenous clients,3834.0,1766.0,2082.0,1349.0,961.0,175.0,160.0,1478.0,11763.0,,,,,,,,,,,,32.6,,,,,15.0,,,,,17.7,,,,,11.5,,,,,8.2,,,,,1.5,,,,,1.4,,,,,12.6,,,
2017-07-31,Jul17,Total,Number of clients who have experienced family and domestic violence,7068.0,12656.0,2949.0,2518.0,1921.0,559.0,517.0,978.0,29108.0,,,,,,,,,,,,24.3,,,,,43.5,,,,,10.1,,,,,8.7,,,,,6.6,,,,,1.9,,,,,1.8,,,,,3.4,,,
2017-07-31,Jul17,Male,Number of nights in short-term/emergency accommodation,20746.0,17985.0,35718.0,6504.0,6270.0,2474.0,3428.0,2688.0,95813.0,,,,,,,,,,,,21.7,,,,,18.8,,,,,37.3,,,,,6.8,,,,,6.5,,,,,2.6,,,,,3.6,,,,,2.8,,,
2017-07-31,Jul17,Male,Number of clients accommodated in short-term/emergency accommodation,1071.0,1252.0,1746.0,555.0,308.0,163.0,128.0,176.0,5391.0,,,,,,,,,,,,19.9,,,,,23.2,,,,,32.4,,,,,10.3,,,,,5.7,,,,,3.0,,,,,2.4,,,,,3.3,,,
2017-07-31,Jul17,Male,Number of clients who are homeless,4460.0,5703.0,2568.0,996.0,1121.0,605.0,322.0,341.0,16078.0,,,,,,,,,,,,27.7,,,,,35.5,,,,,16.0,,,,,6.2,,,,,7.0,,,,,3.8,,,,,2.0,,,,,2.1,,,
2017-07-31,Jul17,Male,Number of clients who are at risk of homelessness,4075.0,4773.0,2030.0,976.0,1208.0,409.0,337.0,611.0,14399.0,,,,,,,,,,,,28.3,,,,,33.1,,,,,14.1,,,,,6.8,,,,,8.4,,,,,2.8,,,,,2.3,,,,,4.2,,,
2017-07-31,Jul17,Total,Number of indigenous clients,6197.0,2880.0,3578.0,2084.0,1518.0,296.0,257.0,2301.0,19053.0,,,,,,,,,,,,32.5,,,,,15.1,,,,,18.8,,,,,10.9,,,,,8.0,,,,,1.6,,,,,1.3,,,,,12.1,,,
2017-07-31,Jul17,Total,Number of clients with a current mental health issue,6938.0,8027.0,2546.0,1425.0,1466.0,852.0,486.0,308.0,22005.0,,,,,,,,,,,,31.5,,,,,36.5,,,,,11.6,,,,,6.5,,,,,6.7,,,,,3.9,,,,,2.2,,,,,1.4,,,
2017-07-31,Jul17,Total,Number of clients with problematic drug or alcohol issues,2210.0,2232.0,963.0,691.0,530.0,230.0,138.0,275.0,7260.0,,,,,,,,,,,,30.4,,,,,30.7,,,,,13.3,,,,,9.5,,,,,7.3,,,,,3.2,,,,,1.9,,,,,3.8,,,
2017-07-31,Jul17,Total,Number of clients financially assisted with payments for short term/emergency accommodation,175.0,1392.0,123.0,66.0,63.0,83.0,14.0,10.0,1920.0,,,,,,,,,,,,9.1,,,,,72.5,,,,,6.4,,,,,3.4,,,,,3.3,,,,,4.3,,,,,0.7,,,,,0.5,,,
2017-07-31,Jul17,Total,Number of nights in short-term/emergency accommodation,45550.0,41555.0,77372.0,15022.0,13852.0,6508.0,8459.0,5815.0,214133.0,,,,,,,,,,,,21.3,,,,,19.4,,,,,36.1,,,,,7.0,,,,,6.5,,,,,3.0,,,,,4.0,,,,,2.7,,,
2017-07-31,Jul17,Total,Number of clients accommodated in short-term/emergency accommodation,2333.0,2736.0,3705.0,1391.0,682.0,412.0,319.0,589.0,12151.0,,,,,,,,,,,,19.2,,,,,22.5,,,,,30.5,,,,,11.4,,,,,5.6,,,,,3.4,,,,,2.6,,,,,4.8,,,
2017-07-31,Jul17,Male,Number of clients with problematic drug or alcohol issues,1203.0,1193.0,565.0,320.0,329.0,155.0,58.0,112.0,3932.0,,,,,,,,,,,,30.6,,,,,30.3,,,,,14.4,,,,,8.1,,,,,8.4,,,,,3.9,,,,,1.5,,,,,2.8,,,
2017-07-31,Jul17,Total,Number of clients who are homeless,10027.0,12860.0,5352.0,2252.0,2559.0,1235.0,771.0,735.0,35704.0,,,,,,,,,,,,28.1,,,,,36.0,,,,,15.0,,,,,6.3,,,,,7.2,,,,,3.5,,,,,2.2,,,,,2.1,,,
2017-07-31,Jul17,Male,Number of clients financially assisted with payments for short term/emergency accommodation,51.0,640.0,41.0,15.0,16.0,28.0,6.0,5.0,801.0,,,,,,,,,,,,6.4,,,,,79.9,,,,,5.1,,,,,1.9,,,,,2.0,,,,,3.5,,,,,0.7,,,,,0.6,,,
2017-07-31,Jul17,Female,Number of clients with a current mental health issue,4206.0,5051.0,1456.0,906.0,910.0,442.0,333.0,175.0,13454.0,,,,,,,,,,,,31.3,,,,,37.5,,,,,10.8,,,,,6.7,,,,,6.8,,,,,3.3,,,,,2.5,,,,,1.3,,,
2017-07-31,Jul17,Female,Number of clients with problematic drug or alcohol issues,1007.0,1039.0,398.0,371.0,201.0,75.0,80.0,163.0,3328.0,,,,,,,,,,,,30.3,,,,,31.2,,,,,12.0,,,,,11.1,,,,,6.0,,,,,2.3,,,,,2.4,,,,,4.9,,,
2017-07-31,Jul17,Female,Number of clients financially assisted with payments for short term/emergency accommodation,124.0,752.0,82.0,51.0,47.0,55.0,8.0,5.0,1119.0,,,,,,,,,,,,11.1,,,,,67.2,,,,,7.3,,,,,4.6,,,,,4.2,,,,,4.9,,,,,0.7,,,,,0.4,,,
2017-07-31,Jul17,Female,Number of nights in short-term/emergency accommodation,24804.0,23570.0,41654.0,8518.0,7582.0,4034.0,5031.0,3127.0,118320.0,,,,,,,,,,,,21.0,,,,,19.9,,,,,35.2,,,,,7.2,,,,,6.4,,,,,3.4,,,,,4.3,,,,,2.6,,,
2017-07-31,Jul17,Female,Number of clients accommodated in short-term/emergency accommodation,1262.0,1484.0,1959.0,836.0,374.0,249.0,191.0,413.0,6760.0,,,,,,,,,,,,18.7,,,,,22.0,,,,,29.0,,,,,12.4,,,,,5.5,,,,,3.7,,,,,2.8,,,,,6.1,,,
2017-07-31,Jul17,Female,Number of clients who have experienced family and domestic violence,5160.0,10322.0,2099.0,1994.0,1563.0,429.0,373.0,716.0,22602.0,,,,,,,,,,,,22.8,,,,,45.7,,,,,9.3,,,,,8.8,,,,,6.9,,,,,1.9,,,,,1.7,,,,,3.2,,,
