DATE,MONTH,SEX,GROUP,REASON FOR SEEKING ASSISTANCE,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,NATIONAL,NSW_POPULATION,VIC_POPULATION,QLD_POPULATION,WA_POPULATION,SA_POPULATION,TAS_POPULATION,ACT_POPULATION,NT_POPULATION,NATIONAL_POPULATION,NATIONAL_PER_10k,NSW_PER_10k,NSW_PROPORTION_OF_NATIONAL,NSW_PROPORTION_OF_NATIONAL_PER_10k,NSW_PROPORTION_OF_NATIONAL_POPULATION,NSW_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,VIC_PER_10k,VIC_PROPORTION_OF_NATIONAL,VIC_PROPORTION_OF_NATIONAL_PER_10k,VIC_PROPORTION_OF_NATIONAL_POPULATION,VIC_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,QLD_PER_10k,QLD_PROPORTION_OF_NATIONAL,QLD_PROPORTION_OF_NATIONAL_PER_10k,QLD_PROPORTION_OF_NATIONAL_POPULATION,QLD_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,WA_PER_10k,WA_PROPORTION_OF_NATIONAL,WA_PROPORTION_OF_NATIONAL_PER_10k,WA_PROPORTION_OF_NATIONAL_POPULATION,WA_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,SA_PER_10k,SA_PROPORTION_OF_NATIONAL,SA_PROPORTION_OF_NATIONAL_PER_10k,SA_PROPORTION_OF_NATIONAL_POPULATION,SA_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,TAS_PER_10k,TAS_PROPORTION_OF_NATIONAL,TAS_PROPORTION_OF_NATIONAL_PER_10k,TAS_PROPORTION_OF_NATIONAL_POPULATION,TAS_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,ACT_PER_10k,ACT_PROPORTION_OF_NATIONAL,ACT_PROPORTION_OF_NATIONAL_PER_10k,ACT_PROPORTION_OF_NATIONAL_POPULATION,ACT_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP,NT_PER_10k,NT_PROPORTION_OF_NATIONAL,NT_PROPORTION_OF_NATIONAL_PER_10k,NT_PROPORTION_OF_NATIONAL_POPULATION,NT_PROPORTION_OF_NATIONAL_COMPARED_TO_PROP_POP
2017-07-31,Jul17,Total,Total,Total clients,22019.0,30510.0,10650.0,5932.0,6308.0,2270.0,1606.0,2895.0,81980.0,,,,,,,,,,,,26.9,,,,,37.2,,,,,13.0,,,,,7.2,,,,,7.7,,,,,2.8,,,,,2.0,,,,,3.5,,,
2017-07-31,Jul17,Total,Financial,Unemployment,2489.0,2230.0,1245.0,590.0,374.0,172.0,124.0,203.0,7423.0,,,,,,,,,,,,33.5,,,,,30.0,,,,,16.8,,,,,7.9,,,,,5.0,,,,,2.3,,,,,1.7,,,,,2.7,,,
2017-07-31,Jul17,Total,Financial,Problematic gambling,84.0,90.0,28.0,11.0,20.0,5.0,7.0,9.0,254.0,,,,,,,,,,,,33.1,,,,,35.4,,,,,11.0,,,,,4.3,,,,,7.9,,,,,2.0,,,,,2.8,,,,,3.5,,,
2017-07-31,Jul17,Total,Other,Other (not elsewhere classified),1698.0,3194.0,1013.0,627.0,234.0,136.0,147.0,563.0,7612.0,,,,,,,,,,,,22.3,,,,,42.0,,,,,13.3,,,,,8.2,,,,,3.1,,,,,1.8,,,,,1.9,,,,,7.4,,,
2017-07-31,Jul17,Total,Other,Lack of family and/or community support,4600.0,4227.0,2211.0,1067.0,488.0,534.0,398.0,428.0,13945.0,,,,,,,,,,,,33.0,,,,,30.3,,,,,15.9,,,,,7.7,,,,,3.5,,,,,3.8,,,,,2.9,,,,,3.1,,,
2017-07-31,Jul17,Total,Other,Disengagement with school or other education and training,650.0,499.0,94.0,132.0,227.0,21.0,25.0,106.0,1753.0,,,,,,,,,,,,37.1,,,,,28.5,,,,,5.4,,,,,7.5,,,,,12.9,,,,,1.2,,,,,1.4,,,,,6.0,,,
2017-07-31,Jul17,Total,Other,Unable to return home due to environmental reasons,554.0,440.0,194.0,158.0,106.0,33.0,51.0,38.0,1573.0,,,,,,,,,,,,35.2,,,,,28.0,,,,,12.3,,,,,10.0,,,,,6.7,,,,,2.1,,,,,3.2,,,,,2.4,,,
2017-07-31,Jul17,Total,Other,Itinerant,725.0,799.0,415.0,86.0,333.0,184.0,8.0,51.0,2599.0,,,,,,,,,,,,27.9,,,,,30.7,,,,,16.0,,,,,3.3,,,,,12.8,,,,,7.1,,,,,0.3,,,,,2.0,,,
2017-07-31,Jul17,Total,Other,Discrimination including racial discrimination,116.0,103.0,68.0,12.0,97.0,10.0,1.0,2.0,409.0,,,,,,,,,,,,28.4,,,,,25.2,,,,,16.6,,,,,2.9,,,,,23.7,,,,,2.4,,,,,0.2,,,,,0.5,,,
2017-07-31,Jul17,Total,Other,Transition from other care arrangements,243.0,234.0,85.0,102.0,95.0,31.0,40.0,33.0,863.0,,,,,,,,,,,,28.2,,,,,27.1,,,,,9.8,,,,,11.8,,,,,11.0,,,,,3.6,,,,,4.6,,,,,3.8,,,
