"Table_Number","Year","Measure","Age","Indigenous_Status","Service_Type","Client_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","","","2021-22 dollars","State and Territory government expenditure on homelessness services","Total recurrent real expenditure","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","320.1","523.1","168.8","101.1","93.6","40.4","34.3","54.9","1336.4"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","","","2021-22 dollars","State and Territory government expenditure on homelessness services","Real expenditure per person in the residential population","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","39.54","79.74","32.07","36.61","51.80","70.92","75.76","220.18","51.86"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","","","","State and Territory government expenditure on homelessness services","Service delivery expenditure","","","","","Derived from State and Territory governments (unpublished)","%","96.7","99.1","97.3","97.7","86.2","96.7","96.6","87.0","96.7"
"19A.1","2021-22","Recurrent expenditure","All ages","All people","","","","State and Territory government expenditure on homelessness services","Administrative expenditure","","","","","Derived from State and Territory governments (unpublished)","%","3.3","0.9","2.7","2.3","13.8","3.3","3.4","13.0","3.3"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","","","2021-22 dollars","State and Territory government expenditure on homelessness services","Total recurrent real expenditure","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","269.6","520.3","167.5","92.3","85.1","35.2","27.3","49.1","1246.5"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","","","2021-22 dollars","State and Territory government expenditure on homelessness services","Real expenditure per person in the residential population","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","32.99","78.10","32.24","34.56","48.08","65.08","63.29","199.10","48.51"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","","","","State and Territory government expenditure on homelessness services","Service delivery expenditure","","","","","Derived from State and Territory governments (unpublished)","%","96.3","99.1","97.0","98.0","85.9","96.4","97.2","89.6","96.8"
"19A.1","2020-21","Recurrent expenditure","All ages","All people","","","","State and Territory government expenditure on homelessness services","Administrative expenditure","","","","","Derived from State and Territory governments (unpublished)","%","3.7","0.9","3.0","2.0","14.1","3.6","2.8","10.4","3.2"
"19A.1","2019-20","Recurrent expenditure","All ages","All people","","","2021-22 dollars","State and Territory government expenditure on homelessness services","Total recurrent real expenditure","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","267.6","396.0","165.5","86.0","73.7","35.5","26.5","41.0","1091.9"
"19A.1","2019-20","Recurrent expenditure","All ages","All people","","","2021-22 dollars","State and Territory government expenditure on homelessness services","Real expenditure per person in the residential population","","","","","Derived from State and Territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","32.92","59.55","32.27","32.58","41.88","66.11","62.10","167.63","42.78"
