STATE,CCLTHD COUNT OF CHILDREN WITH SELECTED LONG-TERM HEALTH CONDITION(S) IN HOUSEHOLD,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
New South Wales,No children reported a selected long-term health condition,46.0,192.0,676.0,0.0,0.0,7580.0,15669.0,122.0,147.0,2598916.0,2623344.0,2021
New South Wales,One child reported a selected long-term health condition,5.0,91.0,170.0,0.0,0.0,681.0,2124.0,9.0,41.0,336249.0,339372.0,2021
New South Wales,Two children reported a selected long-term health condition,0.0,50.0,47.0,0.0,0.0,257.0,502.0,0.0,5.0,63658.0,64523.0,2021
New South Wales,Three children reported a selected long-term health condition,0.0,0.0,15.0,0.0,0.0,50.0,146.0,0.0,0.0,10948.0,11168.0,2021
New South Wales,Four children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,2082.0,2168.0,2021
New South Wales,Five or more children reported a selected long-term health condition,0.0,0.0,6.0,0.0,0.0,36.0,10.0,0.0,0.0,478.0,526.0,2021
New South Wales,Some children in household had a not stated long-term health condition,0.0,36.0,55.0,0.0,0.0,701.0,1183.0,0.0,11.0,102017.0,103997.0,2021
New South Wales,All children in household not stated,5.0,17.0,52.0,0.0,0.0,486.0,709.0,3.0,18.0,85880.0,87169.0,2021
New South Wales,Not applicable,899.0,4652.0,3059.0,8843.0,1423.0,4829.0,9539.0,509.0,2100.0,4784405.0,4820265.0,2021
Victoria,No children reported a selected long-term health condition,8.0,2050.0,441.0,0.0,0.0,5060.0,11007.0,49.0,91.0,2086900.0,2105604.0,2021
Victoria,One child reported a selected long-term health condition,0.0,448.0,113.0,0.0,0.0,699.0,1216.0,7.0,20.0,266572.0,269075.0,2021
Victoria,Two children reported a selected long-term health condition,0.0,107.0,27.0,0.0,0.0,168.0,272.0,0.0,0.0,48323.0,48894.0,2021
Victoria,Three children reported a selected long-term health condition,0.0,6.0,0.0,0.0,0.0,40.0,115.0,0.0,0.0,6676.0,6839.0,2021
Victoria,Four children reported a selected long-term health condition,0.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1011.0,1027.0,2021
Victoria,Five or more children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,0.0,222.0,240.0,2021
Victoria,Some children in household had a not stated long-term health condition,6.0,141.0,56.0,0.0,0.0,409.0,665.0,9.0,0.0,77238.0,78513.0,2021
Victoria,All children in household not stated,6.0,168.0,26.0,0.0,0.0,161.0,503.0,4.0,30.0,67918.0,68808.0,2021
Victoria,Not applicable,1004.0,4894.0,1876.0,8578.0,1583.0,2518.0,5537.0,188.0,1575.0,3853228.0,3880989.0,2021
Queensland,No children reported a selected long-term health condition,118.0,972.0,861.0,0.0,0.0,4388.0,8689.0,268.0,204.0,1626504.0,1642005.0,2021
Queensland,One child reported a selected long-term health condition,11.0,201.0,169.0,0.0,0.0,618.0,1228.0,21.0,43.0,222008.0,224288.0,2021
Queensland,Two children reported a selected long-term health condition,0.0,70.0,51.0,0.0,0.0,148.0,330.0,3.0,10.0,44082.0,44697.0,2021
Queensland,Three children reported a selected long-term health condition,0.0,26.0,26.0,0.0,0.0,51.0,69.0,7.0,0.0,7918.0,8101.0,2021
Queensland,Four children reported a selected long-term health condition,0.0,9.0,6.0,0.0,0.0,31.0,45.0,0.0,0.0,1691.0,1779.0,2021
Queensland,Five or more children reported a selected long-term health condition,0.0,4.0,0.0,0.0,0.0,48.0,32.0,0.0,0.0,356.0,444.0,2021
Queensland,Some children in household had a not stated long-term health condition,21.0,78.0,106.0,0.0,0.0,504.0,625.0,8.0,21.0,74394.0,75754.0,2021
Queensland,All children in household not stated,23.0,88.0,41.0,0.0,0.0,428.0,622.0,3.0,50.0,61229.0,62485.0,2021
Queensland,Not applicable,1888.0,2667.0,3717.0,2972.0,488.0,1625.0,2709.0,780.0,2990.0,3116363.0,3136196.0,2021
South Australia,No children reported a selected long-term health condition,11.0,736.0,190.0,0.0,0.0,1359.0,2816.0,39.0,31.0,528462.0,533642.0,2021
South Australia,One child reported a selected long-term health condition,0.0,143.0,52.0,0.0,0.0,144.0,248.0,8.0,4.0,70089.0,70689.0,2021
South Australia,Two children reported a selected long-term health condition,0.0,77.0,15.0,0.0,0.0,33.0,60.0,0.0,6.0,12665.0,12854.0,2021
South Australia,Three children reported a selected long-term health condition,0.0,13.0,0.0,0.0,0.0,10.0,20.0,0.0,0.0,1860.0,1907.0,2021
South Australia,Four children reported a selected long-term health condition,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,291.0,300.0,2021
South Australia,Five or more children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,2021
South Australia,Some children in household had a not stated long-term health condition,7.0,47.0,11.0,0.0,0.0,127.0,219.0,3.0,6.0,20837.0,21265.0,2021
South Australia,All children in household not stated,0.0,61.0,15.0,0.0,0.0,111.0,101.0,0.0,0.0,16805.0,17097.0,2021
South Australia,Not applicable,309.0,1421.0,1031.0,659.0,255.0,568.0,1052.0,80.0,456.0,1109646.0,1115477.0,2021
Western Australia,No children reported a selected long-term health condition,50.0,34.0,350.0,0.0,0.0,1704.0,3379.0,84.0,48.0,876243.0,881894.0,2021
Western Australia,One child reported a selected long-term health condition,0.0,14.0,72.0,0.0,0.0,271.0,419.0,13.0,3.0,103923.0,104713.0,2021
Western Australia,Two children reported a selected long-term health condition,0.0,0.0,7.0,0.0,0.0,19.0,79.0,5.0,0.0,17718.0,17829.0,2021
Western Australia,Three children reported a selected long-term health condition,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,2632.0,2655.0,2021
Western Australia,Four children reported a selected long-term health condition,0.0,0.0,5.0,0.0,0.0,8.0,21.0,0.0,0.0,493.0,523.0,2021
Western Australia,Five or more children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,2021
Western Australia,Some children in household had a not stated long-term health condition,0.0,0.0,27.0,0.0,0.0,238.0,251.0,0.0,8.0,35607.0,36131.0,2021
Western Australia,All children in household not stated,14.0,5.0,47.0,0.0,0.0,199.0,278.0,0.0,19.0,29569.0,30129.0,2021
Western Australia,Not applicable,2258.0,1548.0,1638.0,637.0,110.0,507.0,895.0,323.0,947.0,1586540.0,1595392.0,2021
Tasmania,No children reported a selected long-term health condition,3.0,105.0,103.0,0.0,0.0,357.0,876.0,16.0,19.0,152165.0,153641.0,2021
Tasmania,One child reported a selected long-term health condition,8.0,35.0,25.0,0.0,0.0,73.0,102.0,7.0,4.0,24373.0,24626.0,2021
Tasmania,Two children reported a selected long-term health condition,0.0,0.0,16.0,0.0,0.0,48.0,36.0,8.0,3.0,4885.0,4990.0,2021
Tasmania,Three children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,10.0,22.0,0.0,0.0,832.0,866.0,2021
Tasmania,Four children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,194.0,2021
Tasmania,Five or more children reported a selected long-term health condition,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,42.0,2021
Tasmania,Some children in household had a not stated long-term health condition,0.0,11.0,12.0,0.0,0.0,14.0,50.0,0.0,0.0,7262.0,7355.0,2021
Tasmania,All children in household not stated,6.0,7.0,7.0,0.0,0.0,44.0,32.0,0.0,0.0,6373.0,6461.0,2021
Tasmania,Not applicable,217.0,366.0,430.0,257.0,29.0,162.0,317.0,50.0,218.0,352648.0,354691.0,2021
Northern Territory,No children reported a selected long-term health condition,46.0,94.0,95.0,0.0,0.0,6636.0,3386.0,38.0,13.0,78452.0,88762.0,2021
Northern Territory,One child reported a selected long-term health condition,3.0,15.0,6.0,0.0,0.0,1063.0,431.0,3.0,0.0,7666.0,9195.0,2021
Northern Territory,Two children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,250.0,115.0,0.0,0.0,1179.0,1543.0,2021
Northern Territory,Three children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,34.0,22.0,0.0,0.0,198.0,253.0,2021
Northern Territory,Four children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,33.0,68.0,2021
Northern Territory,Five or more children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Northern Territory,Some children in household had a not stated long-term health condition,0.0,12.0,11.0,0.0,0.0,642.0,148.0,0.0,0.0,2663.0,3480.0,2021
Northern Territory,All children in household not stated,7.0,16.0,10.0,0.0,0.0,532.0,263.0,3.0,3.0,3372.0,4215.0,2021
Northern Territory,Not applicable,605.0,1666.0,542.0,67.0,42.0,717.0,685.0,113.0,202.0,149151.0,153787.0,2021
Australian Capital Territory,No children reported a selected long-term health condition,0.0,211.0,42.0,0.0,0.0,260.0,503.0,0.0,0.0,149592.0,150595.0,2021
Australian Capital Territory,One child reported a selected long-term health condition,0.0,43.0,7.0,0.0,0.0,20.0,38.0,0.0,0.0,20353.0,20451.0,2021
Australian Capital Territory,Two children reported a selected long-term health condition,0.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3793.0,3812.0,2021
Australian Capital Territory,Three children reported a selected long-term health condition,0.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,434.0,453.0,2021
Australian Capital Territory,Four children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,2021
Australian Capital Territory,Five or more children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Australian Capital Territory,Some children in household had a not stated long-term health condition,0.0,7.0,6.0,0.0,0.0,9.0,39.0,0.0,0.0,5251.0,5322.0,2021
Australian Capital Territory,All children in household not stated,0.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,3527.0,3542.0,2021
Australian Capital Territory,Not applicable,59.0,585.0,211.0,134.0,6.0,155.0,421.0,0.0,26.0,266460.0,268049.0,2021
Other Territories,No children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1305.0,1315.0,2021
Other Territories,One child reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,146.0,2021
Other Territories,Two children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,2021
Other Territories,Three children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2021
Other Territories,Four children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Other Territories,Five or more children reported a selected long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Other Territories,Some children in household had a not stated long-term health condition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,2021
Other Territories,All children in household not stated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,2021
Other Territories,Not applicable,0.0,0.0,4.0,0.0,0.0,7.0,8.0,0.0,0.0,3812.0,3840.0,2021
